latitude,longitude,elevation
52.718968037,-6.622882862,90
52.717607017,-6.622148793,72
52.716225454,-6.621001054,62
52.714985971,-6.619900694,64
52.713770592,-6.620871328,62
52.712422814,-6.621276383,55
52.711448723,-6.621358893,55
52.708626615,-6.624813988,51
52.707145014,-6.627242672,48
52.706254433,-6.63182757,49
52.705315547,-6.634963882,48
52.699142716,-6.641110661,45
52.698346572,-6.642999259,49
52.697109025,-6.644797918,49
52.696086223,-6.646123888,58
52.695767533,-6.648515212,59
